,HT,AT,R,MV_HT,MV_AT,POS_HT,POS_AT
0,FC Bayern München,VfL Wolfsburg,home,575.13,221.05,9,9
1,TSG 1899 Hoffenheim,FC Augsburg,home,121.78,50.08,9,9
2,Hannover 96,FC Schalke 04,home,76.65,212.00,9,9
3,Hertha BSC,SV Werder Bremen,draw,66.00,67.53,9,9
4,Eintracht Frankfurt,SC Freiburg,home,74.90,57.40,9,9
5,1.FC Köln,Hamburger SV,draw,50.75,87.15,9,9
6,Borussia Dortmund,Bayer 04 Leverkusen,away,319.50,177.10,9,9
7,SC Paderborn 07,1.FSV Mainz 05,draw,28.50,88.00,9,9
8,Borussia Mönchengladbach,VfB Stuttgart,draw,130.63,86.95,9,9
9,FC Augsburg,Borussia Dortmund,away,50.08,319.50,18,17
10,Bayer 04 Leverkusen,Hertha BSC,home,177.10,66.00,2,7
11,VfL Wolfsburg,Eintracht Frankfurt,draw,221.05,74.90,15,5
12,SV Werder Bremen,TSG 1899 Hoffenheim,draw,67.53,121.78,8,1
13,VfB Stuttgart,1.FC Köln,away,86.95,50.75,11,13
14,Hamburger SV,SC Paderborn 07,away,87.15,28.50,12,9
15,FC Schalke 04,FC Bayern München,draw,212.00,575.13,14,3
16,1.FSV Mainz 05,Hannover 96,draw,88.00,76.65,6,4
17,SC Freiburg,Borussia Mönchengladbach,draw,57.40,130.63,16,10
18,Bayer 04 Leverkusen,SV Werder Bremen,draw,177.10,67.53,1,9
19,FC Bayern München,VfB Stuttgart,home,575.13,86.95,6,16
20,Borussia Dortmund,SC Freiburg,home,319.50,57.40,8,14
21,TSG 1899 Hoffenheim,VfL Wolfsburg,draw,121.78,221.05,3,12
22,Hertha BSC,1.FSV Mainz 05,away,66.00,88.00,15,10
23,SC Paderborn 07,1.FC Köln,draw,28.50,50.75,2,4
24,Borussia Mönchengladbach,FC Schalke 04,home,130.63,212.00,11,13
25,Eintracht Frankfurt,FC Augsburg,away,74.90,50.08,5,18
26,Hannover 96,Hamburger SV,home,76.65,87.15,7,17
27,SC Freiburg,Hertha BSC,draw,57.40,66.00,14,15
28,FC Schalke 04,Eintracht Frankfurt,draw,212.00,74.90,16,10
29,FC Augsburg,SV Werder Bremen,home,50.08,67.53,12,11
30,Hamburger SV,FC Bayern München,draw,87.15,575.13,18,2
31,VfB Stuttgart,TSG 1899 Hoffenheim,away,86.95,121.78,17,8
32,SC Paderborn 07,Hannover 96,home,28.50,76.65,6,3
33,1.FSV Mainz 05,Borussia Dortmund,home,88.00,319.50,7,4
34,VfL Wolfsburg,Bayer 04 Leverkusen,home,221.05,177.10,13,1
35,1.FC Köln,Borussia Mönchengladbach,draw,50.75,130.63,9,5
36,FC Bayern München,SC Paderborn 07,home,575.13,28.50,4,1
37,TSG 1899 Hoffenheim,SC Freiburg,draw,121.78,57.40,3,14
38,SV Werder Bremen,FC Schalke 04,away,67.53,212.00,13,16
39,Eintracht Frankfurt,1.FSV Mainz 05,draw,74.90,88.00,12,2
40,Borussia Dortmund,VfB Stuttgart,draw,319.50,86.95,10,18
41,Bayer 04 Leverkusen,FC Augsburg,home,177.10,50.08,5,9
42,Borussia Mönchengladbach,Hamburger SV,home,130.63,87.15,7,17
43,Hannover 96,1.FC Köln,home,76.65,50.75,6,8
44,Hertha BSC,VfL Wolfsburg,home,66.00,221.05,15,11
45,1.FSV Mainz 05,TSG 1899 Hoffenheim,draw,88.00,121.78,4,5
46,SC Freiburg,Bayer 04 Leverkusen,draw,57.40,177.10,15,2
47,VfB Stuttgart,Hannover 96,home,86.95,76.65,17,3
48,1.FC Köln,FC Bayern München,away,50.75,575.13,9,1
49,SC Paderborn 07,Borussia Mönchengladbach,away,28.50,130.63,7,6
50,FC Schalke 04,Borussia Dortmund,home,212.00,319.50,13,8
51,VfL Wolfsburg,SV Werder Bremen,home,221.05,67.53,12,16
52,FC Augsburg,Hertha BSC,home,50.08,66.00,11,14
53,Hamburger SV,Eintracht Frankfurt,away,87.15,74.90,18,10
