,Home_Team,Away_Team,Goals_Home,Goals_Away,Date
0,Borussia Dortmund,FC Hansa Rostock,1,0,2000-11-08
1,1.FC Kaiserslautern,VfL Bochum,0,1,2000-11-08
2,Bayer 04 Leverkusen,VfL Wolfsburg,2,0,2000-11-08
3,SC Freiburg,VfB Stuttgart,4,0,2000-11-08
4,SV Werder Bremen,FC Energie Cottbus,3,1,2000-11-08
5,Hamburger SV,TSV 1860 München,2,2,2000-11-08
6,FC Bayern München,Hertha BSC,4,1,2000-11-08
7,Eintracht Frankfurt,SpVgg Unterhaching,3,0,2000-11-08
8,FC Schalke 04,1.FC Köln,2,1,2000-11-08
9,FC Energie Cottbus,Borussia Dortmund,1,4,2000-08-18
10,VfL Bochum,FC Bayern München,0,3,2000-08-18
11,Hertha BSC,Hamburger SV,4,0,2000-08-18
12,VfL Wolfsburg,1.FC Kaiserslautern,4,0,2000-08-18
13,SpVgg Unterhaching,SC Freiburg,1,1,2000-08-18
14,TSV 1860 München,SV Werder Bremen,2,1,2000-08-18
15,VfB Stuttgart,Bayer 04 Leverkusen,4,1,2000-08-18
16,1.FC Köln,Eintracht Frankfurt,4,1,2000-08-18
17,FC Hansa Rostock,FC Schalke 04,0,4,2000-08-18
18,SC Freiburg,1.FC Köln,0,0,2000-05-09
19,1.FC Kaiserslautern,VfB Stuttgart,1,0,2000-05-09
20,Bayer 04 Leverkusen,SpVgg Unterhaching,1,0,2000-05-09
21,FC Schalke 04,FC Energie Cottbus,3,0,2000-05-09
22,Hamburger SV,SV Werder Bremen,2,1,2000-05-09
23,FC Bayern München,VfL Wolfsburg,3,1,2000-05-09
24,Hertha BSC,VfL Bochum,4,0,2000-05-09
25,Eintracht Frankfurt,FC Hansa Rostock,4,0,2000-05-09
26,Borussia Dortmund,TSV 1860 München,2,3,2000-05-09
27,SpVgg Unterhaching,1.FC Kaiserslautern,0,0,2000-08-09
28,VfB Stuttgart,FC Bayern München,2,1,2000-08-09
29,VfL Wolfsburg,Hertha BSC,2,1,2000-08-09
30,VfL Bochum,Hamburger SV,0,4,2000-08-09
31,1.FC Köln,Bayer 04 Leverkusen,1,1,2000-08-09
32,TSV 1860 München,FC Schalke 04,1,1,2000-08-09
33,SV Werder Bremen,Borussia Dortmund,1,2,2000-08-09
34,FC Hansa Rostock,SC Freiburg,0,0,2000-08-09
35,FC Energie Cottbus,Eintracht Frankfurt,2,0,2000-08-09
36,1.FC Kaiserslautern,1.FC Köln,3,1,2000-09-15
37,VfL Bochum,VfL Wolfsburg,2,1,2000-09-15
38,Bayer 04 Leverkusen,FC Hansa Rostock,1,2,2000-09-15
39,SC Freiburg,FC Energie Cottbus,4,1,2000-09-15
40,Eintracht Frankfurt,TSV 1860 München,1,0,2000-09-15
41,Hamburger SV,Borussia Dortmund,2,3,2000-09-15
42,FC Bayern München,SpVgg Unterhaching,3,1,2000-09-15
43,Hertha BSC,VfB Stuttgart,2,0,2000-09-15
44,FC Schalke 04,SV Werder Bremen,1,1,2000-09-15
45,TSV 1860 München,SC Freiburg,3,1,2000-09-22
46,1.FC Köln,FC Bayern München,1,2,2000-09-22
47,VfB Stuttgart,VfL Bochum,1,1,2000-09-22
48,VfL Wolfsburg,Hamburger SV,4,4,2000-09-22
